Problem,Function,Model,Strategy,pass@1,pass@3,pass@5
1,odd_Num_Sum,ChatGPT-4,CoT,1.00,1.00,1.00
1,odd_Num_Sum,ChatGPT-4,Self-Planning,1.00,1.00,1.00
1,odd_Num_Sum,Gemini-2.5,CoT,1.00,1.00,1.00
1,odd_Num_Sum,Gemini-2.5,Self-Planning,1.00,1.00,1.00
2,cal_electbill,ChatGPT-4,CoT,0.00,0.00,0.00
2,cal_electbill,ChatGPT-4,Self-Planning,0.00,0.00,0.00
2,cal_electbill,Gemini-2.5,CoT,0.00,0.00,0.00
2,cal_electbill,Gemini-2.5,Self-Planning,0.00,0.00,0.00
3,check,ChatGPT-4,CoT,1.00,1.00,1.00
3,check,ChatGPT-4,Self-Planning,1.00,1.00,1.00
3,check,Gemini-2.5,CoT,1.00,1.00,1.00
3,check,Gemini-2.5,Self-Planning,1.00,1.00,1.00
4,count_variable,ChatGPT-4,CoT,0.00,0.00,0.00
4,count_variable,ChatGPT-4,Self-Planning,0.00,0.00,0.00
4,count_variable,Gemini-2.5,CoT,0.00,0.00,0.00
4,count_variable,Gemini-2.5,Self-Planning,0.00,0.00,0.00
5,find_tuples,ChatGPT-4,CoT,0.00,0.00,0.00
5,find_tuples,ChatGPT-4,Self-Planning,0.00,0.00,0.00
5,find_tuples,Gemini-2.5,CoT,0.00,0.00,0.00
5,find_tuples,Gemini-2.5,Self-Planning,0.00,0.00,0.00
6,ap_sum,ChatGPT-4,CoT,0.00,0.00,0.00
6,ap_sum,ChatGPT-4,Self-Planning,1.00,1.00,1.00
6,ap_sum,Gemini-2.5,CoT,1.00,1.00,1.00
6,ap_sum,Gemini-2.5,Self-Planning,1.00,1.00,1.00
7,extract_elements,ChatGPT-4,CoT,0.00,0.00,0.00
7,extract_elements,ChatGPT-4,Self-Planning,0.00,0.00,0.00
7,extract_elements,Gemini-2.5,CoT,0.00,0.00,0.00
7,extract_elements,Gemini-2.5,Self-Planning,0.00,0.00,0.00
8,lcopy,ChatGPT-4,CoT,0.00,0.00,0.00
8,lcopy,ChatGPT-4,Self-Planning,0.00,0.00,0.00
8,lcopy,Gemini-2.5,CoT,0.00,0.00,0.00
8,lcopy,Gemini-2.5,Self-Planning,0.00,0.00,0.00
9,largest_pos,ChatGPT-4,CoT,1.00,1.00,1.00
9,largest_pos,ChatGPT-4,Self-Planning,1.00,1.00,1.00
9,largest_pos,Gemini-2.5,CoT,1.00,1.00,1.00
9,largest_pos,Gemini-2.5,Self-Planning,1.00,1.00,1.00
10,min_sum_path,ChatGPT-4,CoT,1.00,1.00,1.00
10,min_sum_path,ChatGPT-4,Self-Planning,1.00,1.00,1.00
10,min_sum_path,Gemini-2.5,CoT,1.00,1.00,1.00
10,min_sum_path,Gemini-2.5,Self-Planning,1.00,1.00,1.00
